source,target,label
wd:Q2926789,wd:Q273570,Scolarité
wd:Q2926909,wd:Q273570,Scolarité
wd:Q2934867,wd:Q273570,Scolarité
wd:Q2941994,wd:Q273570,Scolarité
wd:Q2958006,wd:Q273570,Scolarité
wd:Q2958509,wd:Q273570,Scolarité
wd:Q2958598,wd:Q273570,Scolarité
wd:Q2958663,wd:Q273570,Scolarité
wd:Q2959029,wd:Q273570,Scolarité
wd:Q2959766,wd:Q273570,Scolarité
wd:Q2959858,wd:Q273570,Scolarité
wd:Q2959969,wd:Q273570,Scolarité
wd:Q2959978,wd:Q273570,Scolarité
wd:Q2960047,wd:Q273570,Scolarité
wd:Q2960185,wd:Q273570,Scolarité
wd:Q2960585,wd:Q273570,Scolarité
wd:Q2960618,wd:Q273570,Scolarité
wd:Q2960683,wd:Q273570,Scolarité
wd:Q2965963,wd:Q273570,Scolarité
wd:Q2977199,wd:Q273570,Scolarité
wd:Q2977325,wd:Q273570,Scolarité
wd:Q3000448,wd:Q273570,Scolarité
wd:Q3010095,wd:Q273570,Scolarité
wd:Q3011800,wd:Q273570,Scolarité
wd:Q3013642,wd:Q273570,Scolarité
wd:Q3013726,wd:Q273570,Scolarité
wd:Q3014988,wd:Q273570,Scolarité
wd:Q3014992,wd:Q273570,Scolarité
wd:Q3023010,wd:Q273570,Scolarité
wd:Q3023045,wd:Q273570,Scolarité
wd:Q3027140,wd:Q273570,Scolarité
wd:Q3034329,wd:Q273570,Scolarité
wd:Q3035511,wd:Q273570,Scolarité
wd:Q3047520,wd:Q273570,Scolarité
wd:Q3047719,wd:Q273570,Scolarité
wd:Q3056803,wd:Q273570,Scolarité
wd:Q3056833,wd:Q273570,Scolarité
wd:Q3056903,wd:Q273570,Scolarité
wd:Q3057005,wd:Q273570,Scolarité
wd:Q3057041,wd:Q273570,Scolarité
wd:Q3059981,wd:Q273570,Scolarité
wd:Q3060243,wd:Q273570,Scolarité
wd:Q3060246,wd:Q273570,Scolarité
wd:Q3069048,wd:Q273570,Scolarité
wd:Q3069065,wd:Q273570,Scolarité
wd:Q3081674,wd:Q273570,Scolarité
wd:Q3082628,wd:Q273570,Scolarité
wd:Q3084530,wd:Q273570,Scolarité
wd:Q3084576,wd:Q273570,Scolarité
wd:Q3085002,wd:Q273570,Scolarité
wd:Q3086159,wd:Q273570,Scolarité
wd:Q3086514,wd:Q273570,Scolarité
wd:Q3086627,wd:Q273570,Scolarité
wd:Q3089925,wd:Q273570,Scolarité
wd:Q3092386,wd:Q273570,Scolarité
wd:Q3092455,wd:Q273570,Scolarité
wd:Q3092589,wd:Q273570,Scolarité
wd:Q3092592,wd:Q273570,Scolarité
wd:Q3093731,wd:Q273570,Scolarité
wd:Q3093772,wd:Q273570,Scolarité
wd:Q3291312,wd:Q273570,Scolarité
wd:Q3291511,wd:Q273570,Scolarité
wd:Q3291723,wd:Q273570,Scolarité
wd:Q3292118,wd:Q273570,Scolarité
wd:Q3292283,wd:Q273570,Scolarité
wd:Q3293111,wd:Q273570,Scolarité
wd:Q3293561,wd:Q273570,Scolarité
wd:Q3293856,wd:Q273570,Scolarité
wd:Q3295243,wd:Q273570,Scolarité
wd:Q3300516,wd:Q273570,Scolarité
wd:Q3301297,wd:Q273570,Scolarité
wd:Q3308875,wd:Q273570,Scolarité
wd:Q3309525,wd:Q273570,Scolarité
wd:Q3309634,wd:Q273570,Scolarité
wd:Q3309670,wd:Q273570,Scolarité
wd:Q3310336,wd:Q273570,Scolarité
wd:Q3311147,wd:Q273570,Scolarité
wd:Q3320909,wd:Q273570,Scolarité
wd:Q3341054,wd:Q273570,Scolarité
wd:Q3345898,wd:Q273570,Scolarité
wd:Q3348837,wd:Q273570,Scolarité
wd:Q3351082,wd:Q273570,Scolarité
wd:Q3351290,wd:Q273570,Scolarité
wd:Q3367657,wd:Q273570,Scolarité
wd:Q3370238,wd:Q273570,Scolarité
wd:Q3370333,wd:Q273570,Scolarité
wd:Q3370706,wd:Q273570,Scolarité
wd:Q3370861,wd:Q273570,Scolarité
wd:Q3370932,wd:Q273570,Scolarité
wd:Q3371051,wd:Q273570,Scolarité
wd:Q3371226,wd:Q273570,Scolarité
wd:Q3371604,wd:Q273570,Scolarité
wd:Q3371955,wd:Q273570,Scolarité
wd:Q3372077,wd:Q273570,Scolarité
wd:Q3384053,wd:Q273570,Scolarité
wd:Q3384295,wd:Q273570,Scolarité
wd:Q3384881,wd:Q273570,Scolarité
wd:Q3385482,wd:Q273570,Scolarité
wd:Q3385914,wd:Q273570,Scolarité
wd:Q3386153,wd:Q273570,Scolarité
wd:Q3386671,wd:Q273570,Scolarité
wd:Q3387719,wd:Q273570,Scolarité
wd:Q3419136,wd:Q273570,Scolarité
wd:Q3420767,wd:Q273570,Scolarité
wd:Q3420797,wd:Q273570,Scolarité
wd:Q3421078,wd:Q273570,Scolarité
wd:Q3425714,wd:Q273570,Scolarité
wd:Q3426379,wd:Q273570,Scolarité
wd:Q3426626,wd:Q273570,Scolarité
wd:Q3427057,wd:Q273570,Scolarité
wd:Q3434784,wd:Q273570,Scolarité
wd:Q3435854,wd:Q273570,Scolarité
wd:Q3439046,wd:Q273570,Scolarité
wd:Q3455802,wd:Q273570,Scolarité
wd:Q3479345,wd:Q273570,Scolarité
wd:Q3484628,wd:Q273570,Scolarité
wd:Q3507265,wd:Q273570,Scolarité
wd:Q3524209,wd:Q273570,Scolarité
wd:Q3524504,wd:Q273570,Scolarité
wd:Q3527352,wd:Q273570,Scolarité
wd:Q3557464,wd:Q273570,Scolarité
wd:Q3570642,wd:Q273570,Scolarité
wd:Q3571703,wd:Q273570,Scolarité
wd:Q3573413,wd:Q273570,Scolarité
wd:Q3573504,wd:Q273570,Scolarité
wd:Q3573913,wd:Q273570,Scolarité
wd:Q3574188,wd:Q273570,Scolarité
wd:Q3579189,wd:Q273570,Scolarité
wd:Q3579729,wd:Q273570,Scolarité
wd:Q3588284,wd:Q273570,Scolarité
wd:Q3588522,wd:Q273570,Scolarité
wd:Q3588648,wd:Q273570,Scolarité
wd:Q3588656,wd:Q273570,Scolarité
wd:Q3588664,wd:Q273570,Scolarité
wd:Q3588710,wd:Q273570,Scolarité
wd:Q3592368,wd:Q273570,Scolarité
wd:Q3592377,wd:Q273570,Scolarité
wd:Q5605111,wd:Q273570,Scolarité
wd:Q5617172,wd:Q273570,Scolarité
wd:Q6453661,wd:Q273570,Scolarité
wd:Q6548057,wd:Q273570,Scolarité
wd:Q7125916,wd:Q273570,Scolarité
wd:Q8299181,wd:Q273570,Scolarité
wd:Q8304585,wd:Q273570,Scolarité
wd:Q8313632,wd:Q273570,Scolarité
wd:Q8320043,wd:Q273570,Scolarité
wd:Q8327414,wd:Q273570,Scolarité
wd:Q8328866,wd:Q273570,Scolarité
wd:Q8340353,wd:Q273570,Scolarité
wd:Q11906129,wd:Q273570,Scolarité
wd:Q11983324,wd:Q273570,Scolarité
wd:Q12735144,wd:Q273570,Scolarité
wd:Q14637478,wd:Q273570,Scolarité
wd:Q15076223,wd:Q273570,Scolarité
wd:Q15406978,wd:Q273570,Scolarité
wd:Q15407315,wd:Q273570,Scolarité
wd:Q15407386,wd:Q273570,Scolarité
wd:Q15407466,wd:Q273570,Scolarité
wd:Q15407867,wd:Q273570,Scolarité
wd:Q15449654,wd:Q273570,Scolarité
wd:Q3093918,wd:Q273570,Scolarité
wd:Q3100588,wd:Q273570,Scolarité
wd:Q3100605,wd:Q273570,Scolarité
wd:Q3102349,wd:Q273570,Scolarité
wd:Q3102826,wd:Q273570,Scolarité
wd:Q3103331,wd:Q273570,Scolarité
wd:Q3105811,wd:Q273570,Scolarité
wd:Q3106601,wd:Q273570,Scolarité
wd:Q3119691,wd:Q273570,Scolarité
wd:Q3121174,wd:Q273570,Scolarité
wd:Q3121183,wd:Q273570,Scolarité
wd:Q3121538,wd:Q273570,Scolarité
wd:Q3124207,wd:Q273570,Scolarité
wd:Q3130376,wd:Q273570,Scolarité
wd:Q3130381,wd:Q273570,Scolarité
wd:Q3130713,wd:Q273570,Scolarité
wd:Q3130727,wd:Q273570,Scolarité
