id,label
wd:Q35821492,Gabrielle Vilar
wd:Q21937977,Henri Deloncle
wd:Q34777800,Xavier Bonnault d'Houet
wd:Q3130376,Henri-François Buffet
wd:Q3102826,Georges Guigue
wd:Q3351290,Olivier Poncet
wd:Q17977174,Pierre Thomas-Lacroix
wd:Q16615765,Théophile Dufour
wd:Q28920302,Joseph de Laborde
wd:Q15727649,Amable Regnault
wd:Q2568062,Paul-Albert Février
wd:Q3579824,Édouard Ducéré
wd:Q16265637,Françoise Woimant
wd:Q3175632,Jean de Pange
wd:Q1873427,Lucien Sittler
wd:Q34780512,Félix Martel
wd:Q3069048,Fernand Benoit
wd:Q743493,Siméon Luce
wd:Q28849174,Camille Couderc
wd:Q867952,Henri Stein
wd:Q2375072,Jean Cavignac
wd:Q28845992,Henri Courteault
wd:Q1330059,Jacques Normand
wd:Q44949043,Charles Aubépin
wd:Q18011794,Henri Beaudouin
wd:Q2959978,Charles Petit-Dutaillis
wd:Q2827011,Agnès Saal
wd:Q2848060,André Lacroix
wd:Q16855647,Louis Demaison
wd:Q549841,Jean Favier
wd:Q3165571,Jean-François Delmas
wd:Q3060246,Eugène de Rozière
wd:Q2376231,Jacques Perot
wd:Q3013642,Daniel Alcouffe
wd:Q24276091,Roland Delachenal
wd:Q3131814,Henri Polge
wd:Q2941994,Catherine Massip
wd:Q28587084,André Lesort
wd:Q14626534,Laurence des Cars
wd:Q3370706,Paul Boudet
wd:Q3057041,Ernest Laurain
wd:Q28732963,Charles Oursel
wd:Q1223382,Maurice Le Bègue de Germiny
wd:Q21030683,Marc Bayard
wd:Q3371604,Paul Lacombe
wd:Q2134088,Raymond Cazelles
wd:Q3092592,Félix Rocquain
wd:Q3380639,Philippe Roberts-Jones
wd:Q30105490,Marie-Laure de Rochebrune
wd:Q193563,BNF
wd:Q3385914,Pierre Lelièvre
wd:Q2958006,Ernest de Fréville
wd:Q3170484,Jean Babelon
wd:Q33823809,Rémi Mathieu
wd:Q287175,Éphraïm Mikhaël
wd:Q3341054,Nicole Gotteri
wd:Q34052622,Gabriel Eisenbach
wd:Q719696,Ferdinand Lot
wd:Q15710805,Sylviane Tarsot-Gillery
wd:Q517743,André Chamson
wd:Q21791506,Catherine Arminjon-Roesch
wd:Q34060124,Gustave-Euphranor Marin-Darbel
wd:Q28822713,Paul Le Cacheux
wd:Q2606667,Charles-Victor Langlois
wd:Q3579857,Édouard Frère
wd:Q35127600,Eugène Berger
wd:Q26213085,Arthur de Boislisle
wd:Q3301297,Maurice Prou
wd:Q16335955,Édouard Clunet
wd:Q15973616,Jacques Bénet
wd:Q338430,Wonder Woman
wd:Q3132091,Henri Tribout de Morembert
wd:Q2958663,Charles Bémont
wd:Q8320043,Émile Dacier
wd:Q41969348,Claudine Renou-Fages
wd:Q28729053,Jean Burias
wd:Q3131723,Henri Omont
wd:Q3571703,Yann Sordet
wd:Q3188771,Jules Mathorez
wd:Q28543803,François Ploton-Nicollet
wd:Q3271595,Léonce Lex
wd:Q3262846,Louis Passy
wd:Q2847336,André Borel d'Hauterive
wd:Q3292283,Marie-Thérèse d'Alverny
wd:Q28934181,Anne Magnant
wd:Q3384881,Pierre Durye
wd:Q5605111,Paul Cauwès
wd:Q3262419,Louis Lacour de La Pijardière
wd:Q32860453,Max Bruchet
wd:Q15961765,Eugène Aubry-Vitet
wd:Q3557464,Victor Mortet
wd:Q3288405,Marc Smith
wd:Q2391269,Édouard Pommier
wd:Q2935046,Camille Ragut
wd:Q27919929,Sébastien Delot
wd:Q15556338,René Bargeton
wd:Q2959969,Charles Perrat
wd:Q3050950,Elie Brun-Lavainne
wd:Q178991,Pierre-Claude-François Daunou
wd:Q36390157,François Villard
wd:Q3086514,Françoise Hildesheimer
wd:Q3524209,Thierry Delcourt
wd:Q33700091,Bernard Savouret
