id	label	relation	in	label_relation	label_in
wd:Q1445752	Frantz Funck-Brentano	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1451057	François Guessard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1490053	Jean-Claude Schmitt	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1495297	Jules Guiffrey	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1495584	Gaston Monod	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1507000	George Flahiff	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1531112	Robert Bossuat	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1556706	Gustave Fallot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1684718	Jean-Charles Roman d'Amat	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1685807	Jean Rychner	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1749718	Anatole de Barthélemy	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1870426	Lorédan Larchey	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1879402	Léon Clédat	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1892960	Marcel Bouteron	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q1960293	Émile Campardon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2087636	Philippe Lauer	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2093274	Pierre Champion	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2134088	Raymond Cazelles	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2156245	Robert-Henri Bautier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2206419	Louis Courajod	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2356118	Robert Fossier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2364458	René Poupardin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
